,Longitude,Latitude
0,-159.0,56.0
1,-159.0,59.0
2,-135.0,57.0
3,-128.0,55.0
4,-126.0,55.0
5,-125.0,49.0
6,-125.0,54.0
7,-124.0,45.0
8,-124.0,52.0
9,-124.0,54.0
10,-123.0,38.0
11,-123.0,39.0
12,-123.0,44.0
13,-123.0,45.0
14,-123.0,46.0
15,-123.0,50.0
16,-123.0,53.0
17,-122.0,37.0
18,-122.0,38.0
19,-122.0,39.0
20,-122.0,40.0
21,-122.0,42.0
22,-122.0,56.0
23,-121.0,36.0
24,-121.0,37.0
25,-121.0,38.0
26,-121.0,39.0
27,-121.0,41.0
28,-121.0,43.0
29,-121.0,44.0
30,-121.0,45.0
31,-121.0,46.0
32,-121.0,47.0
33,-121.0,50.0
34,-121.0,52.0
35,-121.0,55.0
36,-121.0,56.0
37,-120.0,36.0
38,-120.0,37.0
39,-120.0,38.0
40,-120.0,42.0
41,-120.0,45.0
42,-120.0,46.0
43,-120.0,47.0
44,-120.0,49.0
45,-120.0,51.0
46,-120.0,56.0
47,-119.0,35.0
48,-119.0,36.0
49,-119.0,39.0
50,-119.0,44.0
51,-119.0,46.0
52,-119.0,47.0
53,-119.0,48.0
54,-119.0,49.0
55,-119.0,50.0
56,-119.0,51.0
57,-119.0,53.0
58,-119.0,55.0
59,-119.0,56.0
60,-118.0,34.0
61,-118.0,35.0
62,-118.0,39.0
63,-118.0,41.0
64,-118.0,42.0
65,-118.0,45.0
66,-118.0,47.0
67,-118.0,48.0
68,-118.0,56.0
69,-117.0,33.0
70,-117.0,34.0
71,-117.0,35.0
72,-117.0,37.0
73,-117.0,38.0
74,-117.0,43.0
75,-117.0,44.0
76,-117.0,45.0
77,-117.0,47.0
78,-117.0,48.0
79,-117.0,55.0
80,-117.0,56.0
81,-116.0,31.0
82,-116.0,32.0
83,-116.0,34.0
84,-116.0,36.0
85,-116.0,41.0
86,-116.0,42.0
87,-116.0,43.0
88,-116.0,45.0
89,-116.0,46.0
90,-116.0,50.0
91,-115.0,31.0
92,-115.0,32.0
93,-115.0,36.0
94,-115.0,39.0
95,-115.0,41.0
96,-115.0,43.0
97,-115.0,52.0
98,-115.0,53.0
99,-115.0,54.0
100,-114.0,27.0
101,-114.0,28.0
102,-114.0,34.0
103,-114.0,35.0
104,-114.0,36.0
105,-114.0,37.0
106,-114.0,43.0
107,-114.0,45.0
108,-114.0,47.0
109,-114.0,50.0
110,-114.0,51.0
111,-114.0,52.0
112,-114.0,54.0
113,-114.0,55.0
114,-113.0,32.0
115,-113.0,33.0
116,-113.0,34.0
117,-113.0,37.0
118,-113.0,38.0
119,-113.0,42.0
120,-113.0,43.0
121,-113.0,46.0
122,-113.0,47.0
123,-113.0,49.0
124,-113.0,50.0
125,-113.0,51.0
126,-113.0,52.0
127,-113.0,53.0
128,-113.0,54.0
129,-112.0,25.0
130,-112.0,26.0
131,-112.0,29.0
132,-112.0,31.0
133,-112.0,32.0
134,-112.0,33.0
135,-112.0,36.0
136,-112.0,37.0
137,-112.0,39.0
138,-112.0,40.0
139,-112.0,41.0
140,-112.0,42.0
141,-112.0,44.0
142,-112.0,48.0
143,-112.0,49.0
144,-112.0,50.0
145,-112.0,51.0
146,-112.0,52.0
147,-112.0,53.0
148,-112.0,54.0
149,-112.0,55.0
150,-111.0,25.0
151,-111.0,28.0
152,-111.0,29.0
153,-111.0,30.0
154,-111.0,32.0
155,-111.0,33.0
156,-111.0,35.0
157,-111.0,36.0
158,-111.0,37.0
159,-111.0,39.0
160,-111.0,41.0
161,-111.0,42.0
162,-111.0,43.0
163,-111.0,45.0
164,-111.0,46.0
165,-111.0,48.0
166,-111.0,49.0
167,-111.0,50.0
168,-111.0,52.0
169,-111.0,53.0
170,-111.0,54.0
171,-111.0,59.0
172,-110.0,23.0
173,-110.0,24.0
174,-110.0,28.0
175,-110.0,29.0
176,-110.0,30.0
177,-110.0,31.0
178,-110.0,33.0
179,-110.0,34.0
180,-110.0,35.0
181,-110.0,36.0
182,-110.0,37.0
183,-110.0,39.0
184,-110.0,40.0
185,-110.0,41.0
186,-110.0,43.0
187,-110.0,46.0
188,-110.0,47.0
189,-110.0,48.0
190,-110.0,50.0
191,-110.0,51.0
192,-110.0,53.0
193,-110.0,54.0
194,-109.0,26.0
195,-109.0,32.0
196,-109.0,33.0
197,-109.0,34.0
198,-109.0,35.0
199,-109.0,36.0
200,-109.0,37.0
201,-109.0,40.0
202,-109.0,43.0
203,-109.0,44.0
204,-109.0,45.0
205,-109.0,46.0
206,-109.0,47.0
207,-109.0,48.0
208,-109.0,50.0
209,-109.0,51.0
210,-109.0,52.0
211,-109.0,53.0
212,-109.0,54.0
213,-108.0,25.0
214,-108.0,26.0
215,-108.0,27.0
216,-108.0,28.0
217,-108.0,30.0
218,-108.0,31.0
219,-108.0,33.0
220,-108.0,34.0
221,-108.0,35.0
222,-108.0,36.0
223,-108.0,37.0
224,-108.0,39.0
225,-108.0,40.0
226,-108.0,44.0
227,-108.0,46.0
228,-108.0,50.0
229,-108.0,51.0
230,-108.0,52.0
231,-108.0,53.0
232,-108.0,54.0
233,-108.0,56.0
234,-107.0,24.0
235,-107.0,26.0
236,-107.0,27.0
237,-107.0,28.0
238,-107.0,29.0
239,-107.0,30.0
240,-107.0,34.0
241,-107.0,35.0
242,-107.0,36.0
243,-107.0,37.0
244,-107.0,39.0
245,-107.0,40.0
246,-107.0,41.0
247,-107.0,45.0
248,-107.0,50.0
249,-107.0,51.0
250,-107.0,52.0
251,-107.0,53.0
252,-107.0,54.0
253,-106.0,23.0
254,-106.0,25.0
255,-106.0,26.0
256,-106.0,28.0
257,-106.0,29.0
258,-106.0,32.0
259,-106.0,33.0
260,-106.0,35.0
261,-106.0,36.0
262,-106.0,37.0
263,-106.0,38.0
264,-106.0,39.0
265,-106.0,40.0
266,-106.0,42.0
267,-106.0,43.0
268,-106.0,48.0
269,-106.0,49.0
270,-106.0,50.0
271,-106.0,51.0
272,-106.0,52.0
273,-106.0,53.0
274,-106.0,55.0
275,-105.0,24.0
276,-105.0,25.0
277,-105.0,26.0
278,-105.0,27.0
279,-105.0,28.0
280,-105.0,29.0
281,-105.0,31.0
282,-105.0,32.0
283,-105.0,35.0
284,-105.0,36.0
285,-105.0,38.0
286,-105.0,39.0
287,-105.0,40.0
288,-105.0,41.0
289,-105.0,42.0
290,-105.0,47.0
291,-105.0,48.0
292,-105.0,50.0
293,-105.0,51.0
294,-105.0,52.0
295,-105.0,53.0
296,-104.0,19.0
297,-104.0,21.0
298,-104.0,22.0
299,-104.0,23.0
300,-104.0,24.0
301,-104.0,25.0
302,-104.0,26.0
303,-104.0,27.0
304,-104.0,28.0
305,-104.0,29.0
306,-104.0,31.0
307,-104.0,33.0
308,-104.0,36.0
309,-104.0,37.0
310,-104.0,38.0
311,-104.0,39.0
312,-104.0,40.0
313,-104.0,41.0
314,-104.0,42.0
315,-104.0,44.0
316,-104.0,47.0
317,-104.0,48.0
318,-104.0,49.0
319,-104.0,50.0
320,-104.0,51.0
321,-104.0,52.0
322,-104.0,53.0
323,-103.0,20.0
324,-103.0,21.0
325,-103.0,22.0
326,-103.0,23.0
327,-103.0,24.0
328,-103.0,25.0
329,-103.0,26.0
330,-103.0,29.0
331,-103.0,31.0
332,-103.0,32.0
333,-103.0,33.0
334,-103.0,38.0
335,-103.0,40.0
336,-103.0,41.0
337,-103.0,42.0
338,-103.0,43.0
339,-103.0,44.0
340,-103.0,46.0
341,-103.0,47.0
342,-103.0,48.0
343,-103.0,49.0
344,-103.0,50.0
345,-103.0,51.0
346,-103.0,52.0
347,-103.0,55.0
348,-103.0,58.0
349,-102.0,18.0
350,-102.0,20.0
351,-102.0,22.0
352,-102.0,23.0
353,-102.0,24.0
354,-102.0,25.0
355,-102.0,26.0
356,-102.0,27.0
357,-102.0,31.0
358,-102.0,32.0
359,-102.0,33.0
360,-102.0,34.0
361,-102.0,35.0
362,-102.0,36.0
363,-102.0,37.0
364,-102.0,38.0
365,-102.0,39.0
366,-102.0,40.0
367,-102.0,41.0
368,-102.0,42.0
369,-102.0,43.0
370,-102.0,44.0
371,-102.0,45.0
372,-102.0,46.0
373,-102.0,47.0
374,-102.0,48.0
375,-102.0,49.0
376,-102.0,50.0
377,-102.0,51.0
378,-102.0,52.0
379,-102.0,55.0
380,-101.0,19.0
381,-101.0,20.0
382,-101.0,21.0
383,-101.0,22.0
384,-101.0,23.0
385,-101.0,24.0
386,-101.0,25.0
387,-101.0,26.0
388,-101.0,27.0
389,-101.0,28.0
390,-101.0,29.0
391,-101.0,31.0
392,-101.0,32.0
393,-101.0,34.0
394,-101.0,35.0
395,-101.0,37.0
396,-101.0,38.0
397,-101.0,39.0
398,-101.0,40.0
399,-101.0,41.0
400,-101.0,42.0
401,-101.0,43.0
402,-101.0,44.0
403,-101.0,45.0
404,-101.0,46.0
405,-101.0,47.0
406,-101.0,48.0
407,-101.0,49.0
408,-101.0,50.0
409,-101.0,51.0
410,-101.0,52.0
411,-101.0,54.0
412,-101.0,55.0
413,-101.0,57.0
414,-100.0,17.0
415,-100.0,18.0
416,-100.0,22.0
417,-100.0,23.0
418,-100.0,24.0
419,-100.0,26.0
420,-100.0,27.0
421,-100.0,28.0
422,-100.0,29.0
423,-100.0,30.0
424,-100.0,31.0
425,-100.0,32.0
426,-100.0,33.0
427,-100.0,34.0
428,-100.0,35.0
429,-100.0,36.0
430,-100.0,37.0
431,-100.0,38.0
432,-100.0,39.0
433,-100.0,40.0
434,-100.0,41.0
435,-100.0,42.0
436,-100.0,44.0
437,-100.0,45.0
438,-100.0,46.0
439,-100.0,47.0
440,-100.0,48.0
441,-100.0,49.0
442,-100.0,50.0
443,-100.0,53.0
444,-99.0,18.0
445,-99.0,19.0
446,-99.0,20.0
447,-99.0,23.0
448,-99.0,24.0
449,-99.0,25.0
450,-99.0,26.0
451,-99.0,29.0
452,-99.0,30.0
453,-99.0,31.0
454,-99.0,32.0
455,-99.0,33.0
456,-99.0,34.0
457,-99.0,35.0
458,-99.0,36.0
459,-99.0,38.0
460,-99.0,39.0
461,-99.0,40.0
462,-99.0,41.0
463,-99.0,43.0
464,-99.0,44.0
465,-99.0,45.0
466,-99.0,46.0
467,-99.0,47.0
468,-99.0,48.0
469,-99.0,49.0
470,-99.0,50.0
471,-99.0,51.0
472,-99.0,56.0
473,-99.0,57.0
474,-98.0,18.0
475,-98.0,19.0
476,-98.0,20.0
477,-98.0,21.0
478,-98.0,22.0
479,-98.0,23.0
480,-98.0,24.0
481,-98.0,25.0
482,-98.0,26.0
483,-98.0,27.0
484,-98.0,28.0
485,-98.0,29.0
486,-98.0,30.0
487,-98.0,31.0
488,-98.0,32.0
489,-98.0,33.0
490,-98.0,34.0
491,-98.0,35.0
492,-98.0,36.0
493,-98.0,37.0
494,-98.0,38.0
495,-98.0,39.0
496,-98.0,40.0
497,-98.0,41.0
498,-98.0,42.0
499,-98.0,43.0
500,-98.0,44.0
501,-98.0,45.0
502,-98.0,46.0
503,-98.0,47.0
504,-98.0,48.0
505,-98.0,49.0
506,-98.0,50.0
507,-98.0,51.0
508,-98.0,54.0
509,-97.0,19.0
510,-97.0,20.0
511,-97.0,29.0
512,-97.0,30.0
513,-97.0,31.0
514,-97.0,32.0
515,-97.0,34.0
516,-97.0,35.0
517,-97.0,36.0
518,-97.0,37.0
519,-97.0,38.0
520,-97.0,39.0
521,-97.0,40.0
522,-97.0,41.0
523,-97.0,42.0
524,-97.0,43.0
525,-97.0,44.0
526,-97.0,45.0
527,-97.0,46.0
528,-97.0,47.0
529,-97.0,48.0
530,-97.0,49.0
531,-97.0,50.0
532,-97.0,51.0
533,-97.0,53.0
534,-96.0,16.0
535,-96.0,18.0
536,-96.0,19.0
537,-96.0,29.0
538,-96.0,30.0
539,-96.0,31.0
540,-96.0,32.0
541,-96.0,33.0
542,-96.0,34.0
543,-96.0,35.0
544,-96.0,36.0
545,-96.0,37.0
546,-96.0,38.0
547,-96.0,39.0
548,-96.0,40.0
549,-96.0,41.0
550,-96.0,42.0
551,-96.0,43.0
552,-96.0,44.0
553,-96.0,45.0
554,-96.0,46.0
555,-96.0,47.0
556,-96.0,48.0
557,-96.0,49.0
558,-96.0,50.0
559,-96.0,56.0
560,-95.0,17.0
561,-95.0,18.0
562,-95.0,30.0
563,-95.0,31.0
564,-95.0,33.0
565,-95.0,34.0
566,-95.0,35.0
567,-95.0,36.0
568,-95.0,37.0
569,-95.0,38.0
570,-95.0,39.0
571,-95.0,40.0
572,-95.0,41.0
573,-95.0,42.0
574,-95.0,43.0
575,-95.0,44.0
576,-95.0,45.0
577,-95.0,46.0
578,-95.0,47.0
579,-95.0,50.0
580,-95.0,54.0
581,-95.0,55.0
582,-94.0,30.0
583,-94.0,32.0
584,-94.0,34.0
585,-94.0,35.0
586,-94.0,36.0
587,-94.0,37.0
588,-94.0,38.0
589,-94.0,39.0
590,-94.0,40.0
591,-94.0,41.0
592,-94.0,42.0
593,-94.0,43.0
594,-94.0,44.0
595,-94.0,45.0
596,-94.0,46.0
597,-94.0,50.0
598,-94.0,55.0
599,-93.0,16.0
600,-93.0,18.0
601,-93.0,30.0
602,-93.0,31.0
603,-93.0,34.0
604,-93.0,36.0
605,-93.0,38.0
606,-93.0,39.0
607,-93.0,40.0
608,-93.0,41.0
609,-93.0,42.0
610,-93.0,43.0
611,-93.0,44.0
612,-93.0,46.0
613,-93.0,47.0
614,-93.0,53.0
615,-92.0,16.0
616,-92.0,18.0
617,-92.0,30.0
618,-92.0,31.0
619,-92.0,35.0
620,-92.0,36.0
621,-92.0,37.0
622,-92.0,38.0
623,-92.0,39.0
624,-92.0,40.0
625,-92.0,41.0
626,-92.0,42.0
627,-92.0,43.0
628,-92.0,44.0
629,-92.0,45.0
630,-92.0,47.0
631,-92.0,50.0
632,-92.0,56.0
633,-91.0,14.0
634,-91.0,15.0
635,-91.0,18.0
636,-91.0,19.0
637,-91.0,31.0
638,-91.0,32.0
639,-91.0,33.0
640,-91.0,34.0
641,-91.0,35.0
642,-91.0,36.0
643,-91.0,39.0
644,-91.0,40.0
645,-91.0,41.0
646,-91.0,42.0
647,-91.0,43.0
648,-91.0,44.0
649,-91.0,45.0
650,-90.0,14.0
651,-90.0,16.0
652,-90.0,17.0
653,-90.0,20.0
654,-90.0,21.0
655,-90.0,30.0
656,-90.0,34.0
657,-90.0,35.0
658,-90.0,36.0
659,-90.0,37.0
660,-90.0,38.0
661,-90.0,39.0
662,-90.0,40.0
663,-90.0,41.0
664,-90.0,42.0
665,-90.0,43.0
666,-90.0,44.0
667,-90.0,45.0
668,-90.0,54.0
669,-89.0,14.0
670,-89.0,15.0
671,-89.0,17.0
672,-89.0,18.0
673,-89.0,20.0
674,-89.0,21.0
675,-89.0,33.0
676,-89.0,34.0
677,-89.0,35.0
678,-89.0,36.0
679,-89.0,37.0
680,-89.0,38.0
681,-89.0,39.0
682,-89.0,40.0
683,-89.0,41.0
684,-89.0,42.0
685,-89.0,43.0
686,-89.0,44.0
687,-89.0,46.0
688,-89.0,47.0
689,-88.0,19.0
690,-88.0,31.0
691,-88.0,35.0
692,-88.0,36.0
693,-88.0,38.0
694,-88.0,39.0
695,-88.0,40.0
696,-88.0,41.0
697,-88.0,45.0
698,-88.0,46.0
699,-88.0,56.0
700,-87.0,13.0
701,-87.0,14.0
702,-87.0,31.0
703,-87.0,33.0
704,-87.0,34.0
705,-87.0,35.0
706,-87.0,38.0
707,-87.0,39.0
708,-87.0,40.0
709,-87.0,41.0
710,-87.0,49.0
711,-87.0,50.0
712,-86.0,12.0
713,-86.0,15.0
714,-86.0,31.0
715,-86.0,36.0
716,-86.0,37.0
717,-86.0,38.0
718,-86.0,39.0
719,-86.0,41.0
720,-86.0,42.0
721,-86.0,43.0
722,-86.0,46.0
723,-86.0,49.0
724,-85.0,10.0
725,-85.0,11.0
726,-85.0,12.0
727,-85.0,13.0
728,-85.0,15.0
729,-85.0,30.0
730,-85.0,31.0
731,-85.0,32.0
732,-85.0,33.0
733,-85.0,34.0
734,-85.0,35.0
735,-85.0,36.0
736,-85.0,37.0
737,-85.0,38.0
738,-85.0,39.0
739,-85.0,40.0
740,-85.0,41.0
741,-85.0,42.0
742,-85.0,43.0
743,-85.0,44.0
744,-85.0,46.0
745,-84.0,10.0
746,-84.0,11.0
747,-84.0,13.0
748,-84.0,15.0
749,-84.0,22.0
750,-84.0,31.0
751,-84.0,32.0
752,-84.0,34.0
753,-84.0,36.0
754,-84.0,37.0
755,-84.0,38.0
756,-84.0,39.0
757,-84.0,40.0
758,-84.0,41.0
759,-84.0,42.0
760,-84.0,43.0
761,-84.0,44.0
762,-84.0,46.0
763,-84.0,47.0
764,-83.0,9.0
765,-83.0,23.0
766,-83.0,30.0
767,-83.0,31.0
768,-83.0,32.0
769,-83.0,33.0
770,-83.0,34.0
771,-83.0,36.0
772,-83.0,39.0
773,-83.0,41.0
774,-83.0,42.0
775,-83.0,43.0
776,-83.0,44.0
777,-82.0,23.0
778,-82.0,27.0
779,-82.0,30.0
780,-82.0,32.0
781,-82.0,33.0
782,-82.0,34.0
783,-82.0,37.0
784,-82.0,39.0
785,-82.0,40.0
786,-82.0,41.0
787,-82.0,43.0
788,-82.0,46.0
789,-81.0,-6.0
790,-81.0,-5.0
791,-81.0,-4.0
792,-81.0,8.0
793,-81.0,23.0
794,-81.0,27.0
795,-81.0,28.0
796,-81.0,29.0
797,-81.0,32.0
798,-81.0,33.0
799,-81.0,35.0
800,-81.0,40.0
801,-81.0,41.0
802,-81.0,43.0
803,-81.0,44.0
804,-81.0,49.0
805,-80.0,-6.0
806,-80.0,-2.0
807,-80.0,-1.0
808,-80.0,9.0
809,-80.0,23.0
810,-80.0,33.0
811,-80.0,34.0
812,-80.0,35.0
813,-80.0,40.0
814,-80.0,41.0
815,-80.0,42.0
816,-80.0,43.0
817,-79.0,-3.0
818,-79.0,0.0
819,-79.0,9.0
820,-79.0,22.0
821,-79.0,34.0
822,-79.0,36.0
823,-79.0,37.0
824,-79.0,38.0
825,-79.0,40.0
826,-79.0,41.0
827,-79.0,44.0
828,-79.0,46.0
829,-79.0,48.0
830,-79.0,54.0
831,-78.0,-10.0
832,-78.0,-8.0
833,-78.0,2.0
834,-78.0,8.0
835,-78.0,21.0
836,-78.0,25.0
837,-78.0,34.0
838,-78.0,35.0
839,-78.0,36.0
840,-78.0,37.0
841,-78.0,38.0
842,-78.0,40.0
843,-78.0,43.0
844,-78.0,44.0
845,-78.0,48.0
846,-77.0,-6.0
847,-77.0,2.0
848,-77.0,5.0
849,-77.0,6.0
850,-77.0,8.0
851,-77.0,21.0
852,-77.0,36.0
853,-77.0,37.0
854,-77.0,38.0
855,-77.0,40.0
856,-77.0,41.0
857,-77.0,42.0
858,-77.0,43.0
859,-77.0,44.0
860,-77.0,45.0
861,-77.0,49.0
862,-76.0,-14.0
863,-76.0,-11.0
864,-76.0,-10.0
865,-76.0,-6.0
866,-76.0,9.0
867,-76.0,21.0
868,-76.0,38.0
869,-76.0,39.0
870,-76.0,40.0
871,-76.0,41.0
872,-76.0,43.0
873,-76.0,44.0
874,-75.0,-15.0
875,-75.0,-13.0
876,-75.0,-11.0
877,-75.0,-9.0
878,-75.0,1.0
879,-75.0,2.0
880,-75.0,4.0
881,-75.0,5.0
882,-75.0,8.0
883,-75.0,9.0
884,-75.0,20.0
885,-75.0,45.0
886,-75.0,50.0
887,-74.0,-16.0
888,-74.0,5.0
889,-74.0,7.0
890,-74.0,8.0
891,-74.0,9.0
892,-74.0,10.0
893,-74.0,42.0
894,-74.0,43.0
895,-73.0,-39.0
896,-73.0,-38.0
897,-73.0,-16.0
898,-73.0,-15.0
899,-73.0,3.0
900,-73.0,4.0
901,-73.0,6.0
902,-73.0,8.0
903,-73.0,45.0
904,-73.0,46.0
905,-72.0,-37.0
906,-72.0,-36.0
907,-72.0,-35.0
908,-72.0,-17.0
909,-72.0,-15.0
910,-72.0,-14.0
911,-72.0,3.0
912,-72.0,4.0
913,-72.0,6.0
914,-72.0,7.0
915,-72.0,9.0
916,-72.0,11.0
917,-72.0,12.0
918,-72.0,19.0
919,-72.0,46.0
920,-72.0,49.0
921,-71.0,-44.0
922,-71.0,-43.0
923,-71.0,-42.0
924,-71.0,-40.0
925,-71.0,-39.0
926,-71.0,-33.0
927,-71.0,-32.0
928,-71.0,-30.0
929,-71.0,-28.0
930,-71.0,-16.0
931,-71.0,-15.0
932,-71.0,-14.0
933,-71.0,-8.0
934,-71.0,5.0
935,-71.0,6.0
936,-71.0,7.0
937,-71.0,8.0
938,-71.0,10.0
939,-71.0,11.0
940,-71.0,47.0
941,-70.0,-44.0
942,-70.0,-42.0
943,-70.0,-41.0
944,-70.0,-40.0
945,-70.0,-39.0
946,-70.0,-38.0
947,-70.0,-37.0
948,-70.0,-27.0
949,-70.0,-26.0
950,-70.0,-24.0
951,-70.0,-23.0
952,-70.0,-22.0
953,-70.0,-21.0
954,-70.0,-20.0
955,-70.0,-19.0
956,-70.0,-18.0
957,-70.0,-17.0
958,-70.0,-16.0
959,-70.0,-15.0
960,-70.0,-14.0
961,-70.0,7.0
962,-70.0,8.0
963,-70.0,11.0
964,-70.0,12.0
965,-70.0,19.0
966,-69.0,-39.0
967,-69.0,-38.0
968,-69.0,-34.0
969,-69.0,-33.0
970,-69.0,-32.0
971,-69.0,-30.0
972,-69.0,-27.0
973,-69.0,-26.0
974,-69.0,-25.0
975,-69.0,-24.0
976,-69.0,-22.0
977,-69.0,-20.0
978,-69.0,-19.0
979,-69.0,-17.0
980,-69.0,-11.0
981,-69.0,-3.0
982,-69.0,7.0
983,-69.0,8.0
984,-69.0,9.0
985,-69.0,10.0
986,-69.0,47.0
987,-69.0,48.0
988,-68.0,-41.0
989,-68.0,-39.0
990,-68.0,-38.0
991,-68.0,-35.0
992,-68.0,-34.0
993,-68.0,-33.0
994,-68.0,-32.0
995,-68.0,-31.0
